caso_id,circunscripcion_id,circunscripcion_descripcion,unidad_id,unidad_descripcion,caso_fecha_inicio,caso_fecha_hecho,caso_hora_hecho,caso_cantidad_autores_identificados,caso_cantidad_autores_no_identificados,caso_cantidad_menores_involucrados_identificados,delito_codigo,delito_descripcion,delito_tentativa,delito_estadistico,fecha_envio
C-20754,C-13,Resistencia,C-145,Fiscalía Federal de Roque Sáenz Peña,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20755,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,2017-05-04,10:00:00.0000000,0,,0,C-2066,"Venta de marca falsificada, imitada o sin autorización",NO,Falsificación,2019-09-10
C-20756,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,2017-12-20,00:00:00.0000000,1,,0,C-392,Uso de documento o certificado falso o adulterado,NO,Falsificación,2019-09-10
C-20757,C-13,Resistencia,C-145,Fiscalía Federal de Roque Sáenz Peña,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20759,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2018-01-02,00:00:00.0000000,0,,0,C-2084,Trata de personas,NO,Trata de persona,2019-09-10
C-20760,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20761,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20762,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2018-01-02,00:00:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20763,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20764,C-11,Posadas,C-12,Fiscalía Federal en lo Civil y Comercial Nro. 2 de Posadas,2018-01-02,2017-12-14,18:57:00.0000000,0,,0,,,,Sin informar,2019-09-10
C-20765,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2017-12-29,08:26:00.0000000,-1,,0,C-2097,Grooming,NO,Grooming,2019-09-10
C-20766,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2018-01-02,00:00:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20768,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2017-12-13,00:00:00.0000000,-1,,0,C-2084,Trata de personas,NO,Trata de persona,2019-09-10
C-20769,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2018-01-02,00:00:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20771,C-5,Corrientes,C-171,Fiscalía Federal Nro. 1 de Corrientes,2018-01-02,2017-12-29,12:10:00.0000000,1,,0,C-1277,Encubrimiento de contrabando por adquisición o recepción de mercadería,NO,Contrabando,2019-09-10
C-20772,C-9,Mendoza,C-185,Fiscalía Federal de San Rafael,2018-01-02,2017-11-23,00:00:00.0000000,0,,0,C-2130,"Comercio o tenencia con fines de comercialización, distribución, dación en pago, almacenamiento o transporte de estupefacientes, precursores químicos o materias primas",NO,Estupefacientes,2019-09-10
C-20773,C-4,Córdoba,C-166,Fiscalía Federal de Villa María,2018-01-02,2017-12-20,10:33:00.0000000,0,,0,,,,Sin informar,2019-09-10
C-20774,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2018-01-02,00:00:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20775,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2018-01-02,00:00:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20776,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20777,C-9,Mendoza,C-185,Fiscalía Federal de San Rafael,2018-01-02,2017-12-04,00:00:00.0000000,1,,0,,,,Sin informar,2019-09-10
C-20778,C-6,General Roca,C-189,Fiscalía Federal Nro. 2 de Neuquén,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20779,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20780,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2018-01-01,00:00:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20781,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20782,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20783,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20784,C-3,Comodoro Rivadavia,C-201,Fiscalía Federal de Río Gallegos,2018-01-02,2017-12-04,00:00:00.0000000,1,,0,C-2084,Trata de personas,NO,Trata de persona,2019-09-10
C-20785,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20786,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2018-01-02,00:00:00.0000000,1,,0,,,,Sin informar,2019-09-10
C-20787,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20788,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20789,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20790,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20791,C-3,Comodoro Rivadavia,C-148,Fiscalía Federal de Esquel,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20792,C-9,Mendoza,C-185,Fiscalía Federal de San Rafael,2018-01-02,2017-12-13,17:00:00.0000000,1,,0,C-2138,Reducción pena para siembra o cultivo para consumo personal,NO,Sin clasificar,2019-09-10
C-20793,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20794,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2017-12-13,00:00:00.0000000,0,,0,C-2084,Trata de personas,NO,Trata de persona,2019-09-10
C-20795,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20796,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20797,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2017-12-28,07:20:00.0000000,-1,,0,C-2084,Trata de personas,NO,Trata de persona,2019-09-10
C-20798,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20799,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20800,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20801,C-15,San Martín,C-225,Fiscalía Federal Nro. 1 de San Isidro,2018-01-02,2017-12-16,13:00:00.0000000,3,,0,C-307,Resistencia o desobediencia a funcionario público o quien preste asistencia,NO,Resistencia o desobediencia a un funcionario público,2019-09-10
C-20801,C-15,San Martín,C-225,Fiscalía Federal Nro. 1 de San Isidro,2018-01-02,2017-12-16,13:00:00.0000000,3,,0,C-371,"Falsificación, introducción, expendio o puesta en circulación de moneda falsa",SI,Falsificación,2019-09-10
C-20802,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20803,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20804,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20805,C-11,Posadas,C-187,Fiscalía Federal de Oberá,2018-01-02,2017-12-18,08:00:00.0000000,-1,,0,C-1407,"Agravante de delitos de estupefacientes por ser cometidos con violencia, intimidación o engaño",NO,Estupefacientes,2019-09-10
C-20806,C-6,General Roca,C-189,Fiscalía Federal Nro. 2 de Neuquén,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20807,C-3,Comodoro Rivadavia,C-201,Fiscalía Federal de Río Gallegos,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20808,C-3,Comodoro Rivadavia,C-201,Fiscalía Federal de Río Gallegos,2018-01-02,2017-12-21,00:00:00.0000000,2,,0,C-2131,"Comercio o tenencia con fines de comercialización, distribución, dación en pago, almacenamiento o transporte de plantas o semillas utilizables para producir estupefacientes",NO,Estupefacientes,2019-09-10
C-20809,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20810,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20811,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20812,C-3,Comodoro Rivadavia,C-201,Fiscalía Federal de Río Gallegos,2018-01-02,2017-12-27,11:16:00.0000000,1,,0,C-2131,"Comercio o tenencia con fines de comercialización, distribución, dación en pago, almacenamiento o transporte de plantas o semillas utilizables para producir estupefacientes",NO,Estupefacientes,2019-09-10
C-20813,C-7,La Plata,C-236,Fiscalía Federal Nro. 1 de Lomas de Zamora,2018-01-02,2003-01-15,17:45:00.0000000,1,,0,C-1605,"Falsificación o aplicación indebida de marcas, contraseñas o firmas",NO,Falsificación,2019-09-10
C-20814,C-15,San Martín,C-230,Fiscalía Federal Nro. 2 de Morón,2018-01-02,2017-10-03,02:00:00.0000000,0,,0,,,,Sin informar,2019-09-10
C-20815,C-15,San Martín,C-230,Fiscalía Federal Nro. 2 de Morón,2018-01-02,2017-12-19,12:47:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20816,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2017-12-20,13:44:00.0000000,0,,0,C-2084,Trata de personas,NO,Trata de persona,2019-09-10
C-20817,C-7,La Plata,C-236,Fiscalía Federal Nro. 1 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20818,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20819,C-15,San Martín,C-230,Fiscalía Federal Nro. 2 de Morón,2018-01-02,2017-12-27,14:51:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20820,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,2018-01-02,11:27:00.0000000,1,,0,C-1925,"Inmigración ilegal agravada por peligro para la vida, salud o integridad de los migrantes menores de edad",NO,Sin clasificar,2019-09-10
C-20821,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20822,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20823,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20824,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20825,C-15,San Martín,C-230,Fiscalía Federal Nro. 2 de Morón,2018-01-02,2017-12-26,13:30:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20826,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-02,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20827,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20828,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20829,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20830,C-15,San Martín,C-230,Fiscalía Federal Nro. 2 de Morón,2018-01-02,2018-01-02,00:00:00.0000000,2,,0,C-2130,"Comercio o tenencia con fines de comercialización, distribución, dación en pago, almacenamiento o transporte de estupefacientes, precursores químicos o materias primas",NO,Estupefacientes,2019-09-10
C-20831,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20832,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20833,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-02,2017-12-30,00:00:00.0000000,1,,0,C-1686,Cohecho pasivo,NO,Sin clasificar,2019-09-10
C-20834,C-11,Posadas,C-187,Fiscalía Federal de Oberá,2018-01-02,2017-12-27,11:15:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20836,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20838,C-6,General Roca,C-192,Fiscalía Federal de Viedma,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20839,C-6,General Roca,C-191,Fiscalía Federal de Zapala,2018-01-03,2017-12-21,23:00:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20840,C-11,Posadas,C-12,Fiscalía Federal en lo Civil y Comercial Nro. 2 de Posadas,2018-01-03,2017-12-26,10:10:00.0000000,1,,0,C-2131,"Comercio o tenencia con fines de comercialización, distribución, dación en pago, almacenamiento o transporte de plantas o semillas utilizables para producir estupefacientes",SI,Estupefacientes,2019-09-10
C-20841,C-6,General Roca,C-193,Fiscalía Federal de General Roca,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20842,C-11,Posadas,C-12,Fiscalía Federal en lo Civil y Comercial Nro. 2 de Posadas,2018-01-03,2017-12-30,04:00:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20843,C-15,San Martín,C-348,Fiscalía Federal de Hurlingham,2018-01-03,2017-01-02,17:00:00.0000000,0,,0,C-1769,Secuestro extorsivo,NO,Sin clasificar,2019-09-10
C-20844,C-12,Rosario,C-206,Fiscalía Federal Nro. 1 de Santa Fe,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20845,C-16,Tucumán,C-144,Fiscalía Federal de Catamarca,2018-01-03,2017-12-30,20:00:00.0000000,2,,0,C-1416,Tenencia de estupefacientes para consumo personal,SI,Estupefacientes,2019-09-10
C-20846,C-12,Rosario,C-206,Fiscalía Federal Nro. 1 de Santa Fe,2018-01-03,2017-12-20,18:15:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20847,C-12,Rosario,C-206,Fiscalía Federal Nro. 1 de Santa Fe,2018-01-03,2017-12-19,23:00:00.0000000,-1,,0,,,,Sin informar,2019-09-10
C-20848,C-15,San Martín,C-229,Fiscalía Federal de Campana,2018-01-03,2018-03-01,00:00:00.0000000,1,,0,C-307,Resistencia o desobediencia a funcionario público o quien preste asistencia,NO,Resistencia o desobediencia a un funcionario público,2019-09-10
C-20849,C-12,Rosario,C-206,Fiscalía Federal Nro. 1 de Santa Fe,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20850,C-8,Mar del Plata,C-216,Fiscalía Federal Nro. 1 de Mar del Plata,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20851,C-6,General Roca,C-192,Fiscalía Federal de Viedma,2018-01-03,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20852,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20853,C-7,La Plata,C-239,Fiscalía Federal de Junín,2018-01-03,2017-12-20,00:00:00.0000000,1,,0,C-907,Falsificación o adulteración de documentos: identidad personal o titularidad dominial o habilitación vehicular,NO,Falsificación,2019-09-10
C-20854,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20855,C-16,Tucumán,C-214,Fiscalía Federal Nro. 1 de Tucumán,2018-01-03,2017-12-07,00:00:00.0000000,-1,,0,C-169,Estafa o defraudación,NO,Estafa y otras defraudaciones,2019-09-10
C-20856,C-15,San Martín,C-227,Fiscalía Federal de Tres de Febrero,2018-01-03,2017-12-28,00:00:00.0000000,1,,0,C-387,Falsificación o adulteración de instrumentos públicos o privados,NO,Falsificación,2019-09-10
C-20857,C-15,San Martín,C-348,Fiscalía Federal de Hurlingham,2018-01-03,2017-11-29,17:16:00.0000000,0,,0,C-2130,"Comercio o tenencia con fines de comercialización, distribución, dación en pago, almacenamiento o transporte de estupefacientes, precursores químicos o materias primas",NO,Estupefacientes,2019-09-10
C-20858,C-15,San Martín,C-348,Fiscalía Federal de Hurlingham,2018-01-03,2017-12-15,10:00:00.0000000,0,,0,C-2130,"Comercio o tenencia con fines de comercialización, distribución, dación en pago, almacenamiento o transporte de estupefacientes, precursores químicos o materias primas",NO,Estupefacientes,2019-09-10
C-20859,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20860,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20861,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20862,C-15,San Martín,C-225,Fiscalía Federal Nro. 1 de San Isidro,2018-01-03,2017-12-26,16:23:00.0000000,-1,,0,C-304,Atentado contra la autoridad por funcionario público,NO,Sin clasificar,2019-09-10
C-20863,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20864,C-15,San Martín,C-227,Fiscalía Federal de Tres de Febrero,2018-01-03,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20865,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20866,C-15,San Martín,C-227,Fiscalía Federal de Tres de Febrero,2018-01-03,2017-12-22,00:00:00.0000000,1,,0,C-1811,Hurto agravado por autor miembro de FFSS o penitenciario,NO,Hurto,2019-09-10
C-20867,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20868,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-03,2018-01-02,16:25:00.0000000,-1,,0,C-2090,Trata de personas agravada por el vínculo,NO,Trata de persona,2019-09-10
C-20868,C-99999,PGN,C-261,Procuraduría de Trata y Explotación de Personas - PROTEX,2018-01-03,2018-01-02,16:25:00.0000000,-1,,0,C-2093,Trata de personas agravada por víctima menor de 18 años,NO,Trata de persona,2019-09-10
C-20869,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20870,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20871,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20872,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20873,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20874,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20875,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20876,C-7,La Plata,C-234,Fiscalía Federal Nro. 2 de Lomas de Zamora,2018-01-03,s/d,s/d,-1,,0,,,,Sin informar,2019-09-10
C-20877,C-15,San Martín,C-227,Fiscalía Federal de Tres de Febrero,2018-01-03,s/d,s/d,0,,0,,,,Sin informar,2019-09-10
C-20878,C-7,La Plata,C-236,Fiscalía Federal Nro. 1 de Lomas de Zamora,2018-01-03,2018-01-02,00:00:00.0000000,0,,0,C-477,"Severidades, vejaciones o apremios ilegales a presos",NO,Sin clasificar,2019-09-10
C-20879,C-11,Posadas,C-186,Fiscalía Federal en lo Criminal y Correccional Nro. 1 de Posadas,2018-01-03,2018-01-05,10:30:00.0000000,2,,0,C-1277,Encubrimiento de contrabando por adquisición o recepción de mercadería,SI,Contrabando,2019-09-10
